elapsed_ms,t_elapsed_s,accel_mag_g
10891,10.891,0.00349448
10909,10.909,0.00349366
10927,10.927,0.00349284
10945,10.945,0.00349202
10964,10.964,0.00349115
10982,10.982,0.00349033
11000,11,0.00348951
11018,11.018,0.00348868
11036,11.036,0.00348786
11055,11.055,0.00348699
11073,11.073,0.00348617
11091,11.091,0.00348535
11109,11.109,0.00348453
11127,11.127,0.00348371
11145,11.145,0.00348288
11164,11.164,0.00348202
11182,11.182,0.00348119
11200,11.2,0.00348037
11218,11.218,0.00347955
11236,11.236,0.00347872
11255,11.255,0.00347786
11273,11.273,0.00347703
11291,11.291,0.00347621
11309,11.309,0.00347539
11327,11.327,0.00347457
11345,11.345,0.00347374
11364,11.364,0.00347287
11382,11.382,0.00347205
11400,11.4,0.00347123
11418,11.418,0.00347041
11436,11.436,0.00346958
11455,11.455,0.00346871
11473,11.473,0.00346789
11491,11.491,0.00346707
11509,11.509,0.00346625
11527,11.527,0.00346542
11545,11.545,0.0034646
11564,11.564,0.00346373
11582,11.582,0.00346291
11600,11.6,0.00346208
11618,11.618,0.00346126
11636,11.636,0.00346044
11655,11.655,0.00345957
11673,11.673,0.00345874
11691,11.691,0.00345792
11709,11.709,0.0034571
11727,11.727,0.00345627
11745,11.745,0.00345545
11764,11.764,0.00345458
11782,11.782,0.00345376
11800,11.8,0.00345293
11818,11.818,0.00345211
11836,11.836,0.00345129
11855,11.855,0.00345042
11873,11.873,0.00344959
11891,11.891,0.00344877
11909,11.909,0.00344794
11927,11.927,0.00344712
11945,11.945,0.0034463
11964,11.964,0.00344543
11982,11.982,0.0034446
12000,12,0.00344378
12018,12.018,0.00344296
12036,12.036,0.00344213
12055,12.055,0.00344126
12073,12.073,0.00344044
12091,12.091,0.00343961
12109,12.109,0.00343879
12127,12.127,0.00343796
12145,12.145,0.00343714
12164,12.164,0.00343627
12182,12.182,0.00343545
12200,12.2,0.00343462
12218,12.218,0.0034338
12236,12.236,0.00343297
12255,12.255,0.0034321
12273,12.273,0.00343128
12291,12.291,0.00343045
12309,12.309,0.00342963
12327,12.327,0.00342881
12345,12.345,0.00342798
12364,12.364,0.00342711
12382,12.382,0.00342629
12400,12.4,0.00342546
12418,12.418,0.00342464
12436,12.436,0.00342381
12455,12.455,0.00342294
12473,12.473,0.00342212
12491,12.491,0.00342129
12509,12.509,0.00342047
12527,12.527,0.00341964
12545,12.545,0.00341882
12564,12.564,0.00341795
12582,12.582,0.00341712
12600,12.6,0.0034163
12618,12.618,0.00341547
12636,12.636,0.00341465
12655,12.655,0.00341378
12673,12.673,0.00341295
12691,12.691,0.00341213
12709,12.709,0.0034113
12727,12.727,0.00341048
12745,12.745,0.00340965
12764,12.764,0.00340878
12782,12.782,0.00340796
12800,12.8,0.00340713
12818,12.818,0.00340631
12836,12.836,0.00340548
12855,12.855,0.00340461
12873,12.873,0.00340378
12891,12.891,0.00340296
12909,12.909,0.00340213
12927,12.927,0.00340131
12945,12.945,0.00340048
12964,12.964,0.00339961
12982,12.982,0.00339879
13000,13,0.00339796
13018,13.018,0.00339714
13036,13.036,0.00339631
13055,13.055,0.00339544
13073,13.073,0.00339461
13091,13.091,0.00339379
13109,13.109,0.00339296
13127,13.127,0.00339214
13145,13.145,0.00339131
13164,13.164,0.00339044
13182,13.182,0.00338962
13200,13.2,0.00338879
13218,13.218,0.00338796
13236,13.236,0.00338714
13255,13.255,0.00338627
13273,13.273,0.00338544
13291,13.291,0.00338462
13309,13.309,0.00338379
13327,13.327,0.00338296
13345,13.345,0.00338214
13364,13.364,0.00338127
13382,13.382,0.00338044
13400,13.4,0.00337962
13418,13.418,0.00337879
13436,13.436,0.00337797
13455,13.455,0.00337709
13473,13.473,0.00337627
13491,13.491,0.00337544
13509,13.509,0.00337462
13527,13.527,0.00337379
13545,13.545,0.00337296
13564,13.564,0.00337209
13582,13.582,0.00337127
13600,13.6,0.00337044
13618,13.618,0.00336962
13636,13.636,0.00336879
13655,13.655,0.00336792
13673,13.673,0.00336709
13691,13.691,0.00336627
13709,13.709,0.00336544
13727,13.727,0.00336462
13745,13.745,0.00336379
13764,13.764,0.00336292
13782,13.782,0.00336209
13800,13.8,0.00336127
13818,13.818,0.00336044
13836,13.836,0.00335961
13855,13.855,0.00335874
13873,13.873,0.00335792
13891,13.891,0.00335709
13909,13.909,0.00335626
13927,13.927,0.00335544
13945,13.945,0.00335461
13964,13.964,0.00335374
13982,13.982,0.00335292
14000,14,0.00335209
14018,14.018,0.00335126
14036,14.036,0.00335044
14055,14.055,0.00334957
14073,14.073,0.00334874
14091,14.091,0.00334791
14109,14.109,0.00334709
14127,14.127,0.00334626
14145,14.145,0.00334544
14164,14.164,0.00334456
14182,14.182,0.00334374
14200,14.2,0.00334291
14218,14.218,0.00334209
14236,14.236,0.00334126
14255,14.255,0.00334039
14273,14.273,0.00333956
14291,14.291,0.00333874
14309,14.309,0.00333791
14327,14.327,0.00333708
14345,14.345,0.00333626
14364,14.364,0.00333539
14382,14.382,0.00333456
14400,14.4,0.00333373
14418,14.418,0.00333291
14436,14.436,0.00333208
14455,14.455,0.00333121
14473,14.473,0.00333038
14491,14.491,0.00332956
14509,14.509,0.00332873
14527,14.527,0.00332791
14545,14.545,0.00332708
14564,14.564,0.00332621
14582,14.582,0.00332538
14600,14.6,0.00332456
14618,14.618,0.00332373
14636,14.636,0.00332291
14655,14.655,0.00332203
14673,14.673,0.00332121
14691,14.691,0.00332038
14709,14.709,0.00331956
14727,14.727,0.00331873
14745,14.745,0.0033179
14764,14.764,0.00331703
14782,14.782,0.00331621
14800,14.8,0.00331538
14818,14.818,0.00331455
14836,14.836,0.00331373
14855,14.855,0.00331286
14873,14.873,0.00331203
14891,14.891,0.00331121
14909,14.909,0.00331038
14927,14.927,0.00330955
14945,14.945,0.00330873
14964,14.964,0.00330786
14982,14.982,0.00330703
15000,15,0.0033062
15018,15.018,0.00330538
15036,15.036,0.00330455
15055,15.055,0.00330368
15073,15.073,0.00330286
15091,15.091,0.00330203
15109,15.109,0.0033012
15127,15.127,0.00330038
15145,15.145,0.00329955
15164,15.164,0.00329868
15182,15.182,0.00329785
15200,15.2,0.00329703
15218,15.218,0.0032962
15236,15.236,0.00329538
15255,15.255,0.00329451
15273,15.273,0.00329368
15291,15.291,0.00329286
15309,15.309,0.00329203
15327,15.327,0.0032912
15345,15.345,0.00329038
15364,15.364,0.00328951
15382,15.382,0.00328868
15400,15.4,0.00328786
15418,15.418,0.00328703
15436,15.436,0.00328621
15455,15.455,0.00328533
15473,15.473,0.00328451
15491,15.491,0.00328368
15509,15.509,0.00328286
15527,15.527,0.00328203
15545,15.545,0.00328121
15564,15.564,0.00328033
15582,15.582,0.00327951
15600,15.6,0.00327868
15618,15.618,0.00327786
15636,15.636,0.00327703
15655,15.655,0.00327616
15673,15.673,0.00327534
15691,15.691,0.00327451
15709,15.709,0.00327369
15727,15.727,0.00327286
15745,15.745,0.00327204
15764,15.764,0.00327117
15782,15.782,0.00327034
15800,15.8,0.00326951
15818,15.818,0.00326869
15836,15.836,0.00326786
15855,15.855,0.00326699
15873,15.873,0.00326617
15891,15.891,0.00326534
15909,15.909,0.00326452
15927,15.927,0.00326369
15945,15.945,0.00326287
15964,15.964,0.003262
15982,15.982,0.00326117
16000,16,0.00326035
16018,16.018,0.00325952
16036,16.036,0.0032587
16055,16.055,0.00325783
16073,16.073,0.003257
16091,16.091,0.00325618
16109,16.109,0.00325535
16127,16.127,0.00325453
16145,16.145,0.0032537
16164,16.164,0.00325283
16182,16.182,0.00325201
16200,16.2,0.00325118
16218,16.218,0.00325036
16236,16.236,0.00324953
16255,16.255,0.00324866
16273,16.273,0.00324784
16291,16.291,0.00324701
16309,16.309,0.00324619
16327,16.327,0.00324537
16345,16.345,0.00324454
16364,16.364,0.00324367
16382,16.382,0.00324285
16400,16.4,0.00324202
16418,16.418,0.0032412
16436,16.436,0.00324037
16455,16.455,0.0032395
16473,16.473,0.00323868
16491,16.491,0.00323786
16509,16.509,0.00323703
16527,16.527,0.00323621
16545,16.545,0.00323538
16564,16.564,0.00323451
16582,16.582,0.00323369
16600,16.6,0.00323287
16618,16.618,0.00323204
16636,16.636,0.00323122
16655,16.655,0.00323035
16673,16.673,0.00322952
16691,16.691,0.0032287
16709,16.709,0.00322788
16727,16.727,0.00322705
16745,16.745,0.00322623
16764,16.764,0.00322536
16782,16.782,0.00322454
16800,16.8,0.00322371
16818,16.818,0.00322289
16836,16.836,0.00322207
16855,16.855,0.0032212
16873,16.873,0.00322037
16891,16.891,0.00321955
16909,16.909,0.00321873
16927,16.927,0.0032179
16945,16.945,0.00321708
16964,16.964,0.00321621
16982,16.982,0.00321539
17000,17,0.00321456
17018,17.018,0.00321374
17036,17.036,0.00321292
17055,17.055,0.00321205
17073,17.073,0.00321122
17091,17.091,0.0032104
17109,17.109,0.00320958
17127,17.127,0.00320876
17145,17.145,0.00320793
17164,17.164,0.00320706
17182,17.182,0.00320624
17200,17.2,0.00320542
17218,17.218,0.0032046
17236,17.236,0.00320377
17255,17.255,0.00320291
17273,17.273,0.00320208
17291,17.291,0.00320126
17309,17.309,0.00320044
17327,17.327,0.00319961
17345,17.345,0.00319879
17364,17.364,0.00319792
17382,17.382,0.0031971
17400,17.4,0.00319628
17418,17.418,0.00319546
17436,17.436,0.00319463
17455,17.455,0.00319377
17473,17.473,0.00319294
17491,17.491,0.00319212
17509,17.509,0.0031913
17527,17.527,0.00319048
17545,17.545,0.00318966
17564,17.564,0.00318879
17582,17.582,0.00318797
17600,17.6,0.00318715
17618,17.618,0.00318632
17636,17.636,0.0031855
17655,17.655,0.00318463
17673,17.673,0.00318381
17691,17.691,0.00318299
17709,17.709,0.00318217
17727,17.727,0.00318135
17745,17.745,0.00318053
17764,17.764,0.00317966
17782,17.782,0.00317884
17800,17.8,0.00317802
17818,17.818,0.0031772
17836,17.836,0.00317637
17855,17.855,0.00317551
17873,17.873,0.00317469
17891,17.891,0.00317387
17909,17.909,0.00317304
17927,17.927,0.00317222
17945,17.945,0.0031714
17964,17.964,0.00317054
17982,17.982,0.00316972
18000,18,0.0031689
18018,18.018,0.00316807
18036,18.036,0.00316725
18055,18.055,0.00316639
18073,18.073,0.00316557
18091,18.091,0.00316475
18109,18.109,0.00316393
18127,18.127,0.00316311
18145,18.145,0.00316229
18164,18.164,0.00316142
18182,18.182,0.0031606
18200,18.2,0.00315978
18218,18.218,0.00315896
18236,18.236,0.00315814
18255,18.255,0.00315727
18273,18.273,0.00315645
18291,18.291,0.00315563
18309,18.309,0.00315481
18327,18.327,0.003154
18345,18.345,0.00315318
18364,18.364,0.00315231
18382,18.382,0.00315149
18400,18.4,0.00315067
18418,18.418,0.00314985
18436,18.436,0.00314903
18455,18.455,0.00314817
18473,18.473,0.00314735
18491,18.491,0.00314653
18509,18.509,0.00314571
18527,18.527,0.00314489
18545,18.545,0.00314407
18564,18.564,0.00314321
18582,18.582,0.00314239
18600,18.6,0.00314157
18618,18.618,0.00314075
18636,18.636,0.00313993
18655,18.655,0.00313907
18673,18.673,0.00313825
18691,18.691,0.00313743
18709,18.709,0.00313661
18727,18.727,0.00313579
18745,18.745,0.00313498
18764,18.764,0.00313411
18782,18.782,0.00313329
18800,18.8,0.00313248
18818,18.818,0.00313166
18836,18.836,0.00313084
18855,18.855,0.00312998
18873,18.873,0.00312916
18891,18.891,0.00312834
18909,18.909,0.00312752
18927,18.927,0.00312671
18945,18.945,0.00312589
18964,18.964,0.00312503
18982,18.982,0.00312421
19000,19,0.00312339
19018,19.018,0.00312257
19036,19.036,0.00312176
19055,19.055,0.00312089
19073,19.073,0.00312008
19091,19.091,0.00311926
19109,19.109,0.00311844
19127,19.127,0.00311763
